Energy,Shell,MFP,MAC_Total,MAC_Incoherent,MAC_Coherent,MAC_Photoelectric,MAC_Pair_production,Inf_Flu_BUF,Fin_Flu_BUF,Inf_Exp_BUF,Fin_Exp_BUF,Inf_Eff_BUF,Fin_Eff_BUF
0.03,1,100.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,2.6752e+34,2.6539000000000003e+34,3.2679e+34,3.0758e+34,2.5707e+34,2.5524e+34
0.04,1,98.0,19.387933829,0.10808426549,0.45010321138,18.829746352,0.0,7.9701e+24,7.8662e+24,1.5452e+25,1.4763e+25,6.163e+24,6.0865e+24
0.04,1,99.0,19.387933829,0.10808426549,0.45010321138,18.829746352,0.0,1.4671e+25,1.4465e+25,2.8055e+25,2.7043e+25,1.1346e+25,1.1193e+25
0.04,1,100.0,19.387933829,0.10808426549,0.45010321138,18.829746352,0.0,2.7004e+25,2.6601e+25,5.094e+25,4.9536e+25,2.0888e+25,2.0585e+25
0.029184,1,73.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,1.6694e+25,1.6515e+25,1.9432e+25,1.8605e+25,1.6315e+25,1.6152e+25
0.029184,1,74.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,3.7865e+25,3.7464e+25,4.3953e+25,4.186e+25,3.7012e+25,3.6651e+25
0.029184,1,75.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,8.5883e+25,8.4989e+25,9.9418e+25,9.418e+25,8.3966e+25,8.3163e+25
0.029184,1,76.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,1.9503e+26,1.9308e+26,2.2625e+26,2.1205e+26,1.907e+26,1.8897e+26
0.029184,1,77.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,4.4291e+26,4.3863e+26,5.1489e+26,4.7744e+26,4.3312e+26,4.2939e+26
0.029184,1,78.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,1.0058e+27,9.9646e+26,1.1718e+27,1.075e+27,9.8368e+26,9.7571e+26
0.029184,1,79.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,2.2841e+27,2.2637e+27,2.6667e+27,2.4203e+27,2.2341e+27,2.2171e+27
0.029184,1,80.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,5.1871e+27,5.1427e+27,6.068699999999999e+27,5.4494e+27,5.0741e+27,5.037799999999999e+27
0.029184,1,81.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,1.1797e+28,1.169e+28,1.3586e+28,1.2384e+28,1.1543e+28,1.1453e+28
0.029184,1,82.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,2.6828e+28,2.6572e+28,3.0416e+28,2.8144e+28,2.6258e+28,2.6037e+28
0.029184,1,83.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,6.1014e+28,6.0402e+28,6.8095e+28,6.3958e+28,5.9732e+28,5.9191e+28
0.029184,1,84.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,1.3876000000000002e+29,1.373e+29,1.5245000000000002e+29,1.4535000000000002e+29,1.3588000000000002e+29,1.3456e+29
0.029184,1,85.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,3.1557e+29,3.1210000000000005e+29,3.4129e+29,3.3032e+29,3.091e+29,3.0591000000000004e+29
0.029184,1,86.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,7.1935e+29,7.110900000000001e+29,7.8925e+29,7.6051e+29,7.0455e+29,6.969700000000001e+29
0.029184,1,87.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,1.6398000000000002e+30,1.6202e+30,1.8252e+30,1.751e+30,1.6059000000000002e+30,1.5879000000000002e+30
0.029184,1,88.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,3.737800000000001e+30,3.6914e+30,4.2207e+30,4.0314e+30,3.6604e+30,3.6179e+30
0.029184,1,89.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,8.5203e+30,8.410600000000001e+30,9.7605e+30,9.2817e+30,8.3432e+30,8.242700000000001e+30
0.029184,1,90.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,1.9422e+31,1.9163e+31,2.2571e+31,2.137e+31,1.9017e+31,1.878e+31
0.029184,1,91.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,4.4164e+31,4.3587e+31,5.123e+31,4.8008e+31,4.3245000000000005e+31,4.2722e+31
0.029184,1,92.0,43.448090736,0.10084403219,0.49777999789,42.849466706,0.0,1.0043e+32,9.9141e+31,1.1628e+32,1.0785e+32,9.833999999999999e+31,9.7188e+31
